Date,Region,COUNTRY,Product_Name,Company_Names,Units_Sold,Unit_Price,Total_Sales,Cost_of_Goods_Sold,Profit,Discount,Customer_Segement
1/2/2023,South,RUSSIA,Laptop,Vehement Capital Partners,794,12.59,9996.46,4336.04,5660.42,10,Retail
1/2/2023,South,RUSSIA,Keyboard,Vehement Capital Partners,188,36.04,6775.52,4057.02,2718.5,15,Wholesale
1/2/2023,Central,RUSSIA,Laptop,Vehement Capital Partners,781,83.37,65111.97,49780.62,15331.35,0,Wholesale
1/2/2023,West,RUSSIA,Mouse,Stark Industries,389,21.1,8207.9,4184.07,4023.83,0,Enterprise
1/3/2023,West,RUSSIA,Printer,Globex Inc,820,82.58,67715.6,55463.15,12252.45,15,Retail
1/3/2023,North,RUSSIA,Mouse,Vehement Capital Partners,900,63.33,56997,24973.71,32023.29,15,Enterprise
1/3/2023,West,RUSSIA,Laptop,Corp,135,60.96,8229.6,6925.44,1304.16,10,Retail
1/3/2023,South,RUSSIA,Printer,Umbrella Corp,362,5.67,2052.54,1460.64,591.9,15,Retail
1/3/2023,East,RUSSIA,Laptop,Globex Inc,650,74.71,48561.5,38973.61,9587.89,15,Retail
1/3/2023,West,RUSSIA,Mouse,Soylent LLC,376,21.07,7922.32,5157.47,2764.85,15,Retail
1/3/2023,East,RUSSIA,Mouse,Initech,150,37.07,5560.5,4130.78,1429.72,15,Enterprise
1/3/2023,North,RUSSIA,Keyboard,Hooli,864,83.04,71746.56,57543.53,14203.03,10,Retail
1/3/2023,North,RUSSIA,Monitor,Vehement Capital Partners,373,45.98,17150.54,11953.19,5197.35,10,Enterprise
1/3/2023,East,RUSSIA,Mouse,Hooli,505,83.11,41970.55,26761.87,15208.68,0,Wholesale
1/3/2023,North,RUSSIA,Mouse,Initech,982,66.65,65450.3,45361.78,20088.52,15,Enterprise
1/3/2023,Central,RUSSIA,Monitor,Corp,103,75.73,7800.19,3738.9,4061.29,10,Retail
1/3/2023,North,RUSSIA,Keyboard,Stark Industries,99,26.5,2623.5,1826.16,797.34,20,Enterprise
1/3/2023,West,RUSSIA,Mouse,Wayne Enterprises,809,52.53,42496.77,20166.27,22330.5,20,Enterprise
1/3/2023,South,RUSSIA,Laptop,Vehement Capital Partners,788,69.44,54718.72,32744.08,21974.64,5,Wholesale
1/3/2023,South,RUSSIA,Monitor,Hooli,389,55.48,21581.72,17507.31,4074.41,15,Enterprise
1/3/2023,South,RUSSIA,Mouse,Umbrella Corp,994,89.39,88853.66,41024.24,47829.42,10,Enterprise
1/3/2023,North,RUSSIA,Printer,Hooli,609,88.61,53963.49,35299.03,18664.46,15,Enterprise
1/3/2023,Central,RUSSIA,Laptop,Initech,32,55.1,1763.2,899.54,863.66,10,Retail
1/3/2023,West,RUSSIA,Laptop,Soylent LLC,907,43.25,39227.75,21920.42,17307.33,20,Wholesale
1/3/2023,West,RUSSIA,Monitor,Wayne Enterprises,268,37.94,10167.92,7484.97,2682.95,0,Enterprise
1/3/2023,West,RUSSIA,Laptop,Vehement Capital Partners,833,9.98,8313.34,6400.11,1913.23,5,Enterprise
1/3/2023,North,RUSSIA,Printer,Initech,44,44.25,1947,812.49,1134.51,10,Enterprise
1/3/2023,East,RUSSIA,Laptop,Corp,587,49.31,28944.97,23142.34,5802.63,20,Enterprise
1/3/2023,Central,RUSSIA,Laptop,Soylent LLC,675,36.11,24374.25,16087.16,8287.09,0,Wholesale
1/4/2023,North,RUSSIA,Laptop,Umbrella Corp,940,81.98,77061.2,44198.74,32862.46,20,Enterprise
1/4/2023,West,RUSSIA,Laptop,Hooli,772,28.38,21909.36,10068.16,11841.2,10,Wholesale
1/4/2023,East,RUSSIA,Laptop,Initech,36,31.99,1151.64,964.36,187.28,0,Retail
1/4/2023,East,RUSSIA,Monitor,Vehement Capital Partners,599,94.34,56509.66,22799.44,33710.22,15,Wholesale
1/4/2023,Central,RUSSIA,Printer,Wayne Enterprises,973,93.85,91316.05,77012.56,14303.49,15,Retail
1/4/2023,East,RUSSIA,Mouse,Soylent LLC,645,61.83,39880.35,29025.67,10854.68,0,Retail
1/4/2023,North,RUSSIA,Printer,Massive Dynamic,818,93.8,76728.4,47562.96,29165.44,15,Retail
1/4/2023,North,RUSSIA,Keyboard,Stark Industries,303,18,5454,2889.36,2564.64,20,Wholesale
1/4/2023,East,RUSSIA,Printer,Vehement Capital Partners,360,11.42,4111.2,2737.45,1373.75,5,Enterprise
1/4/2023,North,RUSSIA,Printer,Stark Industries,955,75.03,71653.65,33106.01,38547.64,5,Enterprise
1/4/2023,East,RUSSIA,Keyboard,Vehement Capital Partners,831,70.25,58377.75,33570.93,24806.82,15,Retail
1/4/2023,Central,RUSSIA,Laptop,Massive Dynamic,238,69.09,16443.42,11395.34,5048.08,0,Enterprise
1/4/2023,South,RUSSIA,Laptop,Hooli,427,49.16,20991.32,11450.83,9540.49,15,Enterprise
1/4/2023,North,RUSSIA,Keyboard,Corp,599,33.59,20120.41,11901.47,8218.94,10,Enterprise
1/4/2023,Central,RUSSIA,Mouse,Corp,53,94.1,4987.3,3093.87,1893.43,15,Retail
1/4/2023,Central,RUSSIA,Keyboard,Umbrella Corp,606,12.59,7629.54,4176.81,3452.73,10,Enterprise
1/4/2023,South,RUSSIA,Mouse,Globex Inc,835,74.53,62232.55,44893.42,17339.13,20,Wholesale
1/4/2023,East,RUSSIA,Mouse,Umbrella Corp,359,90.77,32586.43,17037.61,15548.82,5,Enterprise
1/4/2023,North,RUSSIA,Printer,Corp,218,45.81,9986.58,4389.89,5596.69,15,Enterprise
1/4/2023,West,RUSSIA,Mouse,Corp,629,15.4,9686.6,7111.65,2574.95,20,Enterprise
1/4/2023,South,RUSSIA,Laptop,Vehement Capital Partners,91,8.83,803.53,323.03,480.5,15,Retail
1/4/2023,Central,RUSSIA,Laptop,Wayne Enterprises,842,47.21,39750.82,26229.55,13521.27,20,Retail
1/4/2023,North,RUSSIA,Monitor,Initech,230,93.23,21442.9,16188.98,5253.92,0,Retail
1/4/2023,South,RUSSIA,Laptop,Hooli,438,82.48,36126.24,30309.4,5816.84,20,Enterprise
1/5/2023,North,RUSSIA,Mouse,Vehement Capital Partners,784,77.08,60430.72,40000.81,20429.91,15,Wholesale
1/5/2023,West,RUSSIA,Keyboard,Umbrella Corp,854,49.37,42161.98,33632.49,8529.49,20,Wholesale
1/5/2023,Central,RUSSIA,Monitor,Initech,376,13.42,5045.92,4017.9,1028.02,20,Wholesale
1/5/2023,South,RUSSIA,Keyboard,Corp,445,8.83,3929.35,2879.56,1049.79,10,Retail
1/5/2023,North,RUSSIA,Keyboard,Wayne Enterprises,827,31.8,26298.6,15141.79,11156.81,10,Wholesale
1/5/2023,Central,RUSSIA,Monitor,Hooli,161,77.64,12500.04,9391.92,3108.12,15,Wholesale
1/5/2023,Central,RUSSIA,Keyboard,Globex Inc,933,98.28,91695.24,54467.03,37228.21,5,Enterprise
1/5/2023,Central,RUSSIA,Mouse,Wayne Enterprises,937,54.77,51319.49,42014.48,9305.01,0,Enterprise
1/5/2023,East,RUSSIA,Monitor,Stark Industries,280,23.7,6636,2674.04,3961.96,20,Enterprise
1/5/2023,East,RUSSIA,Keyboard,Globex Inc,699,28.36,19823.64,9226.37,10597.27,5,Retail
1/5/2023,South,RUSSIA,Mouse,Corp,311,15.07,4686.77,3286.12,1400.65,0,Retail
1/5/2023,North,RUSSIA,Mouse,Vehement Capital Partners,614,19.12,11739.68,8516.48,3223.2,20,Enterprise
1/5/2023,North,RUSSIA,Monitor,Globex Inc,320,52.31,16739.2,8367.22,8371.98,0,Wholesale
1/5/2023,North,RUSSIA,Mouse,Massive Dynamic,502,41.52,20843.04,14806.07,6036.97,20,Wholesale
1/5/2023,South,RUSSIA,Keyboard,Wayne Enterprises,838,51.94,43525.72,30283.24,13242.48,0,Enterprise
1/5/2023,Central,RUSSIA,Keyboard,Vehement Capital Partners,878,49.96,43864.88,19097.6,24767.28,10,Retail
1/5/2023,South,RUSSIA,Printer,Massive Dynamic,115,5.67,652.05,502.03,150.02,0,Retail
1/5/2023,East,RUSSIA,Keyboard,Globex Inc,940,63.15,59361,46799.29,12561.71,15,Enterprise
1/5/2023,East,RUSSIA,Keyboard,Umbrella Corp,522,90.73,47361.06,28806.25,18554.81,20,Wholesale
1/5/2023,West,RUSSIA,Laptop,Wayne Enterprises,442,56.56,24999.52,12856.15,12143.37,5,Enterprise
1/5/2023,North,RUSSIA,Monitor,Umbrella Corp,546,56.3,30739.8,21539.23,9200.57,0,Enterprise
1/5/2023,Central,RUSSIA,Printer,Umbrella Corp,194,6.54,1268.76,922.61,346.15,10,Wholesale
1/5/2023,West,RUSSIA,Monitor,Hooli,367,25.34,9299.78,6203.99,3095.79,15,Retail
1/6/2023,North,RUSSIA,Mouse,Umbrella Corp,48,42.37,2033.76,901.67,1132.09,5,Retail
1/6/2023,Central,RUSSIA,Laptop,Vehement Capital Partners,819,9,7371,3360.89,4010.11,20,Retail
1/6/2023,East,RUSSIA,Keyboard,Initech,361,77.58,28006.38,15172.03,12834.35,15,Wholesale
1/6/2023,North,RUSSIA,Printer,Vehement Capital Partners,621,89.4,55517.4,26744.42,28772.98,5,Enterprise
1/6/2023,South,RUSSIA,Monitor,Soylent LLC,399,50.39,20105.61,8843.13,11262.48,5,Enterprise
1/6/2023,Central,RUSSIA,Mouse,Corp,543,12.73,6912.39,3172.39,3740,5,Retail
1/6/2023,East,RUSSIA,Printer,Corp,368,40.43,14878.24,11339.12,3539.12,20,Retail
1/6/2023,North,RUSSIA,Printer,Wayne Enterprises,788,99.01,78019.88,62247.94,15771.94,5,Wholesale
1/6/2023,South,RUSSIA,Printer,Hooli,397,5.08,2016.76,1156.36,860.4,20,Retail
1/6/2023,West,RUSSIA,Printer,Wayne Enterprises,52,67,3484,1711.42,1772.58,15,Wholesale
1/6/2023,North,RUSSIA,Printer,Umbrella Corp,727,78.48,57054.96,47781.06,9273.9,10,Enterprise
1/6/2023,East,RUSSIA,Monitor,Vehement Capital Partners,817,93.81,76642.77,60190.8,16451.97,15,Wholesale
1/6/2023,Central,RUSSIA,Keyboard,Umbrella Corp,764,54.81,41874.84,29039.72,12835.12,20,Retail
1/6/2023,South,RUSSIA,Monitor,Stark Industries,937,18.32,17165.84,7499.48,9666.36,20,Wholesale
1/6/2023,South,RUSSIA,Keyboard,Massive Dynamic,550,89.6,49280,32977.35,16302.65,5,Retail
1/6/2023,North,RUSSIA,Laptop,Massive Dynamic,635,87.82,55765.7,34674.64,21091.06,10,Wholesale
1/6/2023,West,RUSSIA,Mouse,Initech,11,70.33,773.63,483.51,290.12,5,Wholesale
1/6/2023,South,RUSSIA,Keyboard,Corp,44,69.27,3047.88,1826.86,1221.02,10,Enterprise
1/6/2023,West,RUSSIA,Printer,Umbrella Corp,40,6.79,271.6,129.65,141.95,0,Enterprise
1/6/2023,West,RUSSIA,Monitor,Initech,376,84.61,31813.36,26842.39,4970.97,20,Retail
1/6/2023,South,RUSSIA,Mouse,Hooli,275,89.74,24678.5,12938.63,11739.87,15,Retail
1/6/2023,South,RUSSIA,Monitor,Wayne Enterprises,803,58.14,46686.42,27299.67,19386.75,0,Wholesale
1/7/2023,East,RUSSIA,Keyboard,Initech,86,7.17,616.62,393.88,222.74,15,Enterprise
1/7/2023,North,RUSSIA,Keyboard,Massive Dynamic,791,88.83,70264.53,33084.65,37179.88,0,Wholesale
1/7/2023,West,RUSSIA,Printer,Stark Industries,674,57.37,38667.38,16647.91,22019.47,15,Enterprise
1/7/2023,East,RUSSIA,Monitor,Globex Inc,234,61.85,14472.9,11613.41,2859.49,0,Enterprise
1/7/2023,Central,RUSSIA,Laptop,Hooli,352,44.86,15790.72,12615.96,3174.76,15,Wholesale
1/7/2023,East,RUSSIA,Laptop,Soylent LLC,562,66.01,37097.62,17271.52,19826.1,5,Retail
1/7/2023,East,RUSSIA,Keyboard,Soylent LLC,80,47.44,3795.2,1584.85,2210.35,10,Retail
1/7/2023,Central,RUSSIA,Laptop,Stark Industries,515,93.26,48028.9,27126.52,20902.38,5,Wholesale
1/7/2023,West,RUSSIA,Mouse,Vehement Capital Partners,451,21.96,9903.96,6816.28,3087.68,5,Wholesale
1/7/2023,West,RUSSIA,Printer,Globex Inc,715,50.58,36164.7,16671.58,19493.12,10,Enterprise
1/7/2023,Central,RUSSIA,Mouse,Vehement Capital Partners,575,21.06,12109.5,9825.48,2284.02,20,Retail
1/7/2023,West,RUSSIA,Mouse,Hooli,32,98.13,3140.16,2167.98,972.18,10,Wholesale
1/7/2023,East,RUSSIA,Monitor,Massive Dynamic,520,82.54,42920.8,29047.32,13873.48,20,Enterprise
1/7/2023,East,RUSSIA,Laptop,Wayne Enterprises,95,79.32,7535.4,4350.65,3184.75,5,Retail
1/7/2023,East,RUSSIA,Monitor,Soylent LLC,558,28.08,15668.64,10866.54,4802.1,5,Retail
1/7/2023,North,RUSSIA,Mouse,Umbrella Corp,732,35.91,26286.12,20284.87,6001.25,10,Retail
1/7/2023,West,RUSSIA,Laptop,Hooli,701,35.13,24626.13,18736.54,5889.59,10,Wholesale
1/7/2023,South,RUSSIA,Mouse,Soylent LLC,445,74.69,33237.05,13715.92,19521.13,15,Enterprise
1/7/2023,Central,RUSSIA,Monitor,Hooli,792,89.44,70836.48,31782.45,39054.03,0,Retail
1/7/2023,Central,RUSSIA,Monitor,Massive Dynamic,337,86.01,28985.37,17272.12,11713.25,0,Wholesale
1/7/2023,Central,RUSSIA,Printer,Umbrella Corp,670,61.03,40890.1,23169.44,17720.66,0,Enterprise
1/7/2023,South,RUSSIA,Printer,Soylent LLC,585,76.37,44676.45,26489.11,18187.34,10,Wholesale
1/7/2023,South,RUSSIA,Printer,Soylent LLC,888,31.02,27545.76,14643.18,12902.58,20,Wholesale
1/7/2023,North,RUSSIA,Mouse,Soylent LLC,132,80.16,10581.12,6991.65,3589.47,10,Enterprise
1/7/2023,East,RUSSIA,Keyboard,Umbrella Corp,764,47.48,36274.72,20756.93,15517.79,10,Enterprise
1/7/2023,South,RUSSIA,Monitor,Soylent LLC,430,91.4,39302,15958.7,23343.3,5,Wholesale
1/7/2023,West,RUSSIA,Monitor,Vehement Capital Partners,497,82.23,40868.31,33972.4,6895.91,0,Enterprise
1/7/2023,East,RUSSIA,Laptop,Initech,869,91.32,79357.08,42132.89,37224.19,10,Enterprise
1/7/2023,South,RUSSIA,Printer,Corp,183,72.54,13274.82,6411.66,6863.16,15,Retail
1/7/2023,Central,RUSSIA,Printer,Corp,183,78.67,14396.61,11031.95,3364.66,10,Retail
1/8/2023,West,RUSSIA,Mouse,Vehement Capital Partners,962,48.02,46195.24,28960.15,17235.09,10,Retail
1/8/2023,South,RUSSIA,Monitor,Wayne Enterprises,996,91.46,91094.16,57864.45,33229.71,0,Enterprise
1/8/2023,East,RUSSIA,Laptop,Soylent LLC,249,69.78,17375.22,11567.8,5807.42,20,Retail
1/8/2023,East,RUSSIA,Monitor,Stark Industries,805,36.23,29165.15,12130.97,17034.18,0,Enterprise
1/8/2023,West,RUSSIA,Laptop,Stark Industries,478,21.35,10205.3,7166.85,3038.45,15,Enterprise
1/8/2023,West,RUSSIA,Monitor,Soylent LLC,182,76.09,13848.38,7702.73,6145.65,10,Wholesale
1/8/2023,North,RUSSIA,Printer,Initech,96,52.88,5076.48,3420.53,1655.95,5,Enterprise
1/8/2023,Central,RUSSIA,Laptop,Hooli,922,65.32,60225.04,30383.25,29841.79,15,Wholesale
1/8/2023,East,RUSSIA,Monitor,Globex Inc,440,55.19,24283.6,15097.19,9186.41,0,Wholesale
1/8/2023,West,RUSSIA,Printer,Corp,943,59.92,56504.56,47198.84,9305.72,15,Enterprise
1/8/2023,East,RUSSIA,Mouse,Soylent LLC,114,65.04,7414.56,4374.07,3040.49,15,Enterprise
1/8/2023,East,RUSSIA,Laptop,Hooli,80,39.04,3123.2,1661.65,1461.55,5,Enterprise
1/8/2023,West,RUSSIA,Printer,Stark Industries,876,72.5,63510,51704.66,11805.34,20,Enterprise
1/8/2023,North,RUSSIA,Monitor,Stark Industries,917,13.41,12296.97,7464.7,4832.27,10,Retail
1/8/2023,Central,RUSSIA,Laptop,Wayne Enterprises,610,80.09,48854.9,30905.57,17949.33,10,Wholesale
1/8/2023,North,RUSSIA,Printer,Hooli,88,43.12,3794.56,2662.44,1132.12,5,Wholesale
1/8/2023,West,RUSSIA,Laptop,Umbrella Corp,241,65.43,15768.63,6435.88,9332.75,0,Wholesale
1/8/2023,West,RUSSIA,Keyboard,Initech,310,85.36,26461.6,12473.11,13988.49,15,Retail
1/8/2023,South,RUSSIA,Monitor,Soylent LLC,843,28.1,23688.3,20074.77,3613.53,5,Enterprise
1/8/2023,West,RUSSIA,Monitor,Soylent LLC,177,44.16,7816.32,5150.75,2665.57,10,Retail
1/8/2023,West,RUSSIA,Printer,Corp,629,37.08,23323.32,14857.51,8465.81,20,Enterprise
1/8/2023,South,RUSSIA,Monitor,Corp,291,12.46,3625.86,2854.09,771.77,5,Wholesale
1/8/2023,East,RUSSIA,Printer,Massive Dynamic,839,14.95,12543.05,7365.03,5178.02,0,Enterprise
1/8/2023,West,RUSSIA,Mouse,Vehement Capital Partners,669,25.19,16852.11,12886.37,3965.74,5,Enterprise
1/8/2023,East,RUSSIA,Monitor,Globex Inc,524,49.09,25723.16,20440.05,5283.11,15,Enterprise
1/8/2023,Central,RUSSIA,Mouse,Vehement Capital Partners,398,86.64,34482.72,16539.58,17943.14,5,Wholesale
1/8/2023,West,RUSSIA,Printer,Globex Inc,250,10.97,2742.5,1635.84,1106.66,20,Enterprise
1/8/2023,West,RUSSIA,Keyboard,Umbrella Corp,793,71.75,56897.75,30049.6,26848.15,5,Enterprise
1/8/2023,East,RUSSIA,Laptop,Massive Dynamic,859,53.5,45956.5,20901.25,25055.25,0,Retail
1/8/2023,South,RUSSIA,Printer,Globex Inc,654,92.8,60691.2,36290.59,24400.61,10,Retail
1/8/2023,North,RUSSIA,Laptop,Initech,767,39.11,29997.37,17481.21,12516.16,5,Retail
1/8/2023,Central,RUSSIA,Printer,Hooli,101,28.13,2841.13,2374.1,467.03,5,Enterprise
1/8/2023,West,RUSSIA,Monitor,Globex Inc,739,50.01,36957.39,26982.74,9974.65,20,Enterprise
1/8/2023,North,RUSSIA,Keyboard,Initech,146,78.51,11462.46,8991.33,2471.13,0,Enterprise
1/8/2023,East,RUSSIA,Laptop,Umbrella Corp,386,59.45,22947.7,17201.82,5745.88,15,Enterprise
1/8/2023,North,RUSSIA,Monitor,Soylent LLC,983,29.5,28998.5,12737.44,16261.06,15,Retail
1/9/2023,North,RUSSIA,Printer,Wayne Enterprises,96,21.43,2057.28,1655.12,402.16,5,Enterprise
1/9/2023,North,RUSSIA,Mouse,Massive Dynamic,822,92.63,76141.86,31277,44864.86,20,Wholesale
1/9/2023,East,RUSSIA,Printer,Massive Dynamic,603,11.49,6928.47,4591.83,2336.64,10,Enterprise
1/9/2023,South,RUSSIA,Laptop,Globex Inc,822,23.9,19645.8,9688.2,9957.6,15,Retail
1/9/2023,East,RUSSIA,Printer,Corp,715,98.58,70484.7,39244.77,31239.93,15,Enterprise
1/9/2023,North,RUSSIA,Keyboard,Soylent LLC,762,57.43,43761.66,26881.17,16880.49,5,Wholesale
1/9/2023,North,RUSSIA,Monitor,Corp,174,90.35,15720.9,6690.64,9030.26,10,Retail
1/9/2023,North,RUSSIA,Printer,Wayne Enterprises,483,52.11,25169.13,20298.84,4870.29,0,Enterprise
1/9/2023,East,RUSSIA,Printer,Corp,266,58.22,15486.52,12697.27,2789.25,15,Retail
1/9/2023,North,RUSSIA,Printer,Wayne Enterprises,799,88.04,70343.96,53695.28,16648.68,15,Wholesale
1/9/2023,East,RUSSIA,Monitor,Umbrella Corp,892,54.9,48970.8,27642.03,21328.77,0,Wholesale
1/9/2023,East,RUSSIA,Printer,Umbrella Corp,847,69.66,59002.02,32369.06,26632.96,0,Enterprise
1/9/2023,South,RUSSIA,Monitor,Umbrella Corp,522,86.39,45095.58,24244.35,20851.23,5,Enterprise
1/9/2023,South,RUSSIA,Monitor,Vehement Capital Partners,454,33.49,15204.46,10462.68,4741.78,0,Retail
1/9/2023,North,RUSSIA,Laptop,Soylent LLC,396,49.95,19780.2,10919.11,8861.09,10,Enterprise
1/9/2023,North,RUSSIA,Monitor,Soylent LLC,216,78.24,16899.84,14020.47,2879.37,5,Enterprise
1/9/2023,East,RUSSIA,Printer,Stark Industries,638,74.77,47703.26,22172.17,25531.09,5,Wholesale
1/9/2023,Central,RUSSIA,Laptop,Initech,584,27.07,15808.88,9410.84,6398.04,10,Retail
1/9/2023,South,RUSSIA,Printer,Wayne Enterprises,267,15,4005,2380.95,1624.05,15,Retail
1/9/2023,Central,RUSSIA,Monitor,Globex Inc,868,7.56,6562.08,5518.53,1043.55,10,Retail
1/9/2023,South,RUSSIA,Keyboard,Corp,957,95.94,91814.58,59217.33,32597.25,10,Retail
1/9/2023,South,RUSSIA,Monitor,Globex Inc,846,88.25,74659.5,60597.31,14062.19,10,Enterprise
1/9/2023,West,RUSSIA,Laptop,Stark Industries,325,14.51,4715.75,2191.62,2524.13,20,Enterprise
1/9/2023,Central,RUSSIA,Printer,Stark Industries,68,21.7,1475.6,734.96,740.64,20,Wholesale
1/10/2023,West,RUSSIA,Laptop,Wayne Enterprises,593,20.74,12298.82,5460.46,6838.36,0,Wholesale
1/10/2023,North,RUSSIA,Monitor,Initech,642,85.39,54820.38,25503.12,29317.26,0,Retail
1/10/2023,East,RUSSIA,Mouse,Globex Inc,169,29.65,5010.85,2442.78,2568.07,15,Enterprise
1/10/2023,South,RUSSIA,Keyboard,Massive Dynamic,100,81.21,8121,5658.9,2462.1,15,Enterprise
1/10/2023,Central,RUSSIA,Keyboard,Vehement Capital Partners,980,98.47,96500.6,68251.37,28249.23,5,Retail
